AÑO	 CIIU	Descripción	Personas trabajadoras con cobertura (promedio)	Total de casos notificados	Casos con días de baja y secuelas incapacitantes	Personas trabajadoras fallecidas	Índice de incidencia [1]	Índice de incidencia de casos mortales [2]
2022	011	Cultivos temporales	94237,08333	6956	6679	16	70,8744346	169,7845416
2022	012	Cultivos perennes	69411,41667	5042	4843	9	69,77238375	129,6616671
2022	013	Producción de semillas y de otras formas de propagación de cultivos agrícolas	7993,5	240	224	1	28,0227685	125,1016451
2022	014	Cría de animales	102829	10256	9847	36	95,76092347	350,0957901
2022	016	Servicios de apoyo agrícolas y pecuarios	58325,83333	3099	2986	10	51,19515366	171,4506151
2022	017	Caza, repoblación de animales de caza y servicios de apoyo	113	6	6	0	53,09734513	0
2022	021	Silvicultura	2567	249	243	0	94,66303078	0
2022	022	Extracción de productos forestales	3722,75	299	289	1	77,63078369	268,6186287
2022	024	Servicios de apoyo a la silvicultura	2824,5	266	256	0	90,63551071	0
2022	031	Pesca y servicios de apoyo	13478,91667	1638	1535	1	113,8815558	74,18993861
2022	032	Explotación de criaderos de peces, granjas piscícolas y otros frutos acuáticos (acuicultura)	175,6666667	37	37	0	210,626186	0
2022	051	Extracción y aglomeración de carbón	2255,916667	361	183	0	81,12001773	0
2022	052	Extracción y aglomeración de lignito	0	0	0	0	-	-
2022	061	Extracción de petróleo crudo	30081	1352	1155	0	38,39632991	0
2022	062	Extracción de gas natural	41	0	0	0	0	0
2022	071	Extracción de minerales de hierro	56,5	3	2	0	35,39823009	0
2022	072	Extracción de minerales metalíferos no ferrosos	9666,25	411	242	1	25,03556188	103,452735
2022	081	Extracción de piedra, arena y arcillas	6701,25	618	547	2	81,62656221	298,4517814
2022	089	Explotación de minas y canteras n.c.p.	7657,75	377	307	1	40,0901048	130,5866606
2022	091	Servicios de apoyo para la extracción de petróleo y gas natural	24906	2122	1940	4	77,89287722	160,6038706
2022	099	Servicios de apoyo para la minería, excepto para la extracción de petróleo y gas natural	2114,583333	122	117	0	55,33004926	0
2022	101	Producción y procesamiento de carne y productos cárnicos, excepto pescado	76573,66667	10909	9941	7	129,822698	91,41523848
2022	102	Elaboración de pescado y productos de pescado	10009,16667	1262	1194	1	119,2906502	99,90841728
2022	103	Preparación de frutas, hortalizas y legumbres	16120,66667	1186	1019	2	63,21078533	124,064348
2022	104	Elaboración de aceites y grasas de origen vegetal	21323,25	1213	1001	2	46,9440634	93,79433248
