AÑO; CIIU;Descripción;Personas trabajadoras con cobertura (promedio);Total de casos notificados;Casos con días de baja y secuelas incapacitantes;Personas trabajadoras fallecidas;Índice de incidencia [1];Índice de incidencia de casos mortales [2];
2022;11;Cultivos temporales;9.423.708.333;6956;6679;16;70.874;169.785;
2022;12;Cultivos perennes;6.941.141.667;5042;4843;9;69.772;129.662;
2022;13;Producción de semillas y de otras formas de propagación de cultivos agrícolas;7993.5;240;224;1;28.023;125.102;
2022;14;Cría de animales;102829;10256;9847;36;95.761;350.096;
2022;16;Servicios de apoyo agrícolas y pecuarios;5.832.583.333;3099;2986;10;51.195;171.451;
2022;17;Caza. repoblación de animales de caza y servicios de apoyo;113;6;6;0;53.097;0.000;
2022;21;Silvicultura;2567;249;243;0;94.663;0.000;
2022;22;Extracción de productos forestales;3722.75;299;289;1;77.631;268.619;
2022;24;Servicios de apoyo a la silvicultura;2824.5;266;256;0;90.636;0.000;
2022;31;Pesca y servicios de apoyo;1.347.891.667;1638;1535;1;113.882;74.190;
2022;32;Explotación de criaderos de peces. granjas piscícolas y otros frutos acuáticos (acuicultura);1.756.666.667;37;37;0;210.626;0.000;
2022;51;Extracción y aglomeración de carbón;2.255.916.667;361;183;0;81.120;0.000;
2022;52;Extracción y aglomeración de lignito;0;0;0;0;-;-;
2022;61;Extracción de petróleo crudo;30081;1352;1155;0;38.396;0.000;
2022;62;Extracción de gas natural;41;0;0;0;0.000;0.000;
2022;71;Extracción de minerales de hierro;56.5;3;2;0;35.398;0.000;
2022;72;Extracción de minerales metalíferos no ferrosos;9666.25;411;242;1;25.036;103.453;
2022;81;Extracción de piedra. arena y arcillas;6701.25;618;547;2;81.627;298.452;
2022;89;Explotación de minas y canteras n.c.p.;7657.75;377;307;1;40.090;130.587;
2022;91;Servicios de apoyo para la extracción de petróleo y gas natural;24906;2122;1940;4;77.893;160.604;
2022;99;Servicios de apoyo para la minería. excepto para la extracción de petróleo y gas natural;2.114.583.333;122;117;0;55.330;0.000;
2022;101;Producción y procesamiento de carne y productos cárnicos. excepto pescado;7.657.366.667;10909;9941;7;129.823;91.415;
2022;102;Elaboración de pescado y productos de pescado;1.000.916.667;1262;1194;1;119.291;99.908;
2022;103;Preparación de frutas. hortalizas y legumbres;1.612.066.667;1186;1019;2;63.211;124.064;
2022;104;Elaboración de aceites y grasas de origen vegetal;21323.25;1213;1001;2;46.944;93.794;
2022;105;Elaboración de productos lácteos;3.440.583.333;3237;2978;6;86.555;174.389;
2022;106;Elaboración de productos de molinería. almidones y productos derivados del almidón;1.817.116.667;1613;1426;3;78.476;165.097;
2022;107;Elaboración de productos alimenticios n.c.p.;1.266.228.333;10562;9650;10;76.211;78.975;
2022;108;Elaboración de alimentos preparados para animales;7.157.083.333;550;490;2;68.464;279.443;
2022;109;Servicios industriales para la elaboración de alimentos y bebidas;3.273.333.333;37;34;0;103.870;0.000;
2022;110;Elaboración de bebidas;54558.75;3593;3328;1;60.998;18.329;
2022;120;Elaboración de productos de tabaco;5.201.083.333;214;169;0;32.493;0.000;
2022;131;Fabricación de hilados y tejidos. acabado de productos textiles;2.512.008.333;2320;1924;1;76.592;39.809;
2022;139;Fabricación de productos textiles n.c.p.;28722.5;2645;2409;2;83.872;69.632;
2022;141;Confección de prendas de vestir. excepto prendas de piel;3.380.958.333;1859;1751;1;51.790;29.577;
2022;142;Terminación y teñido de pieles; fabricación de artículos de piel;4.416.666.667;0;0;0;0.000;0.000
